stage,time_min,oma-1,oma-2,pie-1,mex-5,mex-6,zip-1,zip-2,ztf-2,ceh-22,ceh-24,rpl-1,rps-1
stage_4_cell,75,4.6528,5.1101,4.8141,3.6665,5.0126,1.7948,1.7696,1.7278,0.90495,3.4023,5.0445,5.1059
stage_E_div,80,4.6313,4.6899,4.7148,3.6736,4.8974,1.6844,4.1401,2.3072,1.5608,3.1151,5.0964,5.1329
stage_4_AB_div,100,4.3275,4.2804,4.3129,3.0282,4.547,1.556,4.3342,1.7977,1.2894,2.6024,5.1161,5.1316
stage_5_AB_div,125,3.6578,3.2928,3.3465,2.6349,3.7258,1.2592,4.6811,1.3181,0.84845,2.2333,5.1676,5.1502
stage_6_AB_div,175,3.3568,3.0263,3.234,2.1814,3.2376,1.6272,4.8727,1.3435,1.2163,2.1935,5.1789,5.2521
stage_7_AB_div,200,2.4698,2.7187,2.8317,1.6441,3.133,1.8845,5.0785,1.3557,1.204,2.283,5.3122,5.3222
stage_VE,250,1.6104,2.2062,2.2451,0.9748,2.408,2.5469,5.0763,1.4361,4.518,2.5992,5.356,5.3779
stage_CS,400,1.45,2.046,2.1857,0.77225,2.2379,2.9363,5.0833,1.6113,4.7103,2.9179,5.3697,5.4012
stage_Mov,600,1.5233,2.0726,2.1396,1.0806,2.1763,3.5855,5.0593,1.7928,4.7726,4.4016,5.3045,5.3236
stage_L1,800,1.3515,1.7903,1.9557,1.1614,1.9016,3.5492,5.2287,3.7146,3.7863,3.6578,5.4207,5.4753
