WormBase Id,Public Name,stage_4_cell,stage_E_div,stage_4_AB_div,stage_5_AB_div,stage_6_AB_div,stage_7_AB_div,stage_VE,stage_CS,stage_Mov,stage_L1
WBGene00018847,6-Mar,2.8534,3.0669,2.149,1.6835,1.9435,2.2429,2.4328,2.4289,2.6284,2.6556
WBGene00000156,1-Apr,4.0823,4.2329,3.5207,3.5188,4.0778,4.2709,4.2126,4.0624,3.7812,3.6022
WBGene00012005,1-Jun,3.7729,4.0048,3.3153,3.0081,2.0921,2.3078,4.2088,4.5867,4.5784,4.5115
WBGene00004775,1-Sep,3.9418,4.2616,3.3508,2.7696,3.1773,3.6979,3.3035,2.8129,2.4659,2.9215
WBGene00003842,1-Oct,0.9015,1.2333,1.0052,1.1974,1.0754,1.7391,1.851,1.9207,2.3139,3.6366
WBGene00003843,2-Oct,1.8296,2.4146,2.32,2.1749,2.1919,2.7725,3.4796,4.2034,4.4524,4.4052
WBGene00007063,2L52.1,2.1544,2.7399,2.5501,2.5176,2.7403,2.7093,2.792,2.8795,2.3098,1.1837
WBGene00007064,2RSSE.1,2.0099,2.4129,2.266,2.1441,2.4973,2.6686,2.9737,2.9666,2.8494,2.4217
WBGene00044165,2RSSE.2,1.2739,1.8101,1.9376,2.1784,2.6645,2.8497,2.6518,2.8556,3.2053,1.692
WBGene00007067,4R79.2,1.2056,1.5111,1.4838,1.4099,1.5445,1.3961,1.4409,1.2513,1.3017,3.0512
WBGene00007069,6R55.2,1.5956,2.4055,2.156,1.9664,1.8352,1.8739,1.8422,2.0053,2.042,1.9355
WBGene00019801,aak-1,4.6045,4.1371,3.5836,3.0494,2.9492,3.1071,3.887,3.9258,3.4664,3.7122
WBGene00020142,aak-2,3.2144,3.6761,3.1234,2.6352,3.159,3.6736,3.4304,3.4251,3.2286,3.0984
WBGene00010115,aakb-1,4.5635,4.6297,4.516,4.6722,4.8641,4.9295,4.9859,5.0348,5.0132,4.7601
WBGene00012928,aakb-2,3.9964,4.221,4.2801,3.8711,3.6747,3.7906,4.0838,3.9789,3.3287,3.44
WBGene00000001,aap-1,4.822,4.8415,4.4579,3.8148,4.256,4.408,4.5017,4.4178,3.9226,4.0966
WBGene00000002,aat-1,2.8331,3.412,3.0967,3.2493,3.6576,4.1116,4.7238,4.962,5.076,4.3797
WBGene00000003,aat-2,3.5099,3.0432,2.9769,2.9105,3.2386,3.9162,4.7165,4.8452,4.8057,4.4403
WBGene00000004,aat-3,1.6137,1.7657,1.4731,1.1079,1.2662,1.8194,2.3869,2.4258,2.3801,1.8182
WBGene00000005,aat-4,0.84726,1.2721,1.2053,1.1643,1.8228,2.9867,4.4993,4.045,3.1316,4.3532
WBGene00000006,aat-5,2.9116,2.9626,2.6794,2.6379,2.5618,2.5901,2.8959,3.1632,3.5647,4.5992
WBGene00000007,aat-6,1.4262,1.6371,1.0912,0.56231,0.36894,0.41415,0.81187,0.53859,1.2917,4.0918
WBGene00000008,aat-7,0.63713,1.3162,1.0491,1.1085,0.36333,0.44954,0.75051,0.81298,1.4144,3.5777
WBGene00000009,aat-8,0.61934,1.0467,0.96245,0.52623,0.27509,0.68181,0.45554,0.70599,1.2918,1.4674
WBGene00000010,aat-9,4.0979,4.3911,4.2974,4.074,3.7504,3.3146,3.4073,3.2536,3.2954,3.184
WBGene00012714,abce-1,4.5552,4.7077,4.5253,4.3893,4.3375,4.5948,4.7032,4.6713,4.3983,4.5913
WBGene00006512,abcf-1,5.2301,5.2252,5.1102,4.9421,4.913,4.9652,4.9811,5.0173,4.8657,5.0994
WBGene00012097,abcf-2,4.5154,4.695,4.539,4.4342,4.4337,4.5353,4.4527,4.3417,4.2478,4.5453
WBGene00018339,abcf-3,4.8592,4.9266,4.8138,4.8658,4.8813,4.9484,4.9784,5.0032,4.921,5.0785
WBGene00016973,abch-1,0.70307,1.1465,0.76672,0.54386,0.49395,0.83201,0.54839,1.4337,3.02,2.73
WBGene00006522,abcx-1,1.6911,2.0332,1.7539,1.7707,1.8719,1.7821,1.8373,1.9654,2.7036,2.5882
WBGene00000012,abf-1,0.57215,1.0124,0.65318,0.52181,0.67883,0.36459,0.65408,0.93994,1.5744,1.6433
WBGene00000013,abf-2,0.74001,1.9727,2.1402,1.8826,1.6366,1.7211,1.4021,1.5146,1.6974,3.6229
WBGene00000014,abf-3,0.8859,1.0212,0.83605,0.48782,0.24187,0.36207,0.6765,0.56234,1.0457,1.1035
WBGene00000015,abf-4,0.60786,1.0582,0.70172,0.82357,0.58634,0.6712,0.55434,0.89712,1.3005,2.9794
WBGene00000016,abf-5,0.65491,1.0597,0.72804,1.0908,1.3249,1.1009,1.0021,1.5244,1.7681,4.1994
WBGene00000017,abf-6,0.94649,1.0533,1.1374,0.92836,1.0906,0.67073,1.5443,2.5984,3.1713,4.2386
WBGene00015146,abi-1,5.2545,5.0417,4.8958,4.8727,5.0059,5.0676,4.992,4.9349,4.7557,4.5311
WBGene00000018,abl-1,4.3537,4.597,4.3762,4.293,4.276,4.6013,4.8286,4.7834,4.8146,4.1688
WBGene00000019,abt-1,1.0789,1.8816,1.9908,1.3147,1.0394,1.1499,0.96284,1.3795,1.4708,1.7197
WBGene00000020,abt-2,2.4628,3.6833,3.7105,4.6073,4.409,3.9624,3.5683,4.1182,3.9841,4.7982
