stage,time_min,rpl-1,rpl-10,rpl-11.1,rpl-11.2,rpl-12,rpl-13,rpl-14,rpl-15,rpl-16,rpl-17,rpl-18,rpl-19,rpl-2,rpl-20,rpl-21,rpl-22,rpl-23,rpl-24.1,rpl-24.2,rpl-25.1,rpl-25.2,rpl-26,rpl-27,rpl-28,rpl-29,rpl-3,rpl-30,rpl-31,rpl-32,rpl-33,rpl-34,rpl-35,rpl-36,rpl-37,rpl-38,rpl-39,rpl-4,rpl-41,rpl-43,rpl-5,rpl-6,rpl-7,rpl-7A,rpl-9,mrpl-41
stage_4_cell,75,5.0445,5.2587,5.0936,4.3343,5.3779,5.0628,4.5432,5.0094,5.0999,5.0922,5.1148,5.0769,5.2315,5.1233,4.8897,4.6323,4.9885,5.1661,4.9598,3.7164,5.2693,5.0286,4.9421,4.8976,4.9759,4.9991,4.8683,4.695,4.9815,5.1975,4.6535,5.0296,5.1127,4.974,4.8539,4.3246,5.2293,4.4189,4.9152,5.1724,5.0472,5.0902,4.7042,4.9082,4.8703
stage_E_div,80,5.0964,5.2527,5.1127,4.5071,5.3451,5.0667,4.6478,5.0394,5.1313,5.1295,5.1517,5.1394,5.2442,5.1563,4.9663,4.7661,5.0339,5.1933,5.0316,4.4283,5.2298,5.0424,4.9724,4.9371,4.9562,5.0782,4.8279,4.7773,5.0332,5.1605,4.7431,5.0282,5.1032,4.9651,4.8747,4.4028,5.2474,4.5381,4.9715,5.2203,5.0834,5.1206,4.9492,4.9526,4.8398
stage_4_AB_div,100,5.1161,5.2559,5.0986,4.5107,5.3429,5.1289,4.6993,5.0526,5.1586,5.1399,5.1591,5.1789,5.2349,5.1905,4.9843,4.818,5.0593,5.1943,4.9923,4.5031,5.2545,5.083,5.0029,4.9698,5.0395,5.0691,4.7875,4.8001,5.0537,5.1936,4.7829,5.0681,5.176,4.9857,4.9138,4.5279,5.2435,4.524,5.0156,5.1926,5.1257,5.1346,4.9619,5.0175,4.8125
stage_5_AB_div,125,5.1676,5.2583,5.1098,4.5999,5.3601,5.1911,4.7536,5.1019,5.1864,5.2159,5.206,5.252,5.2575,5.2304,5.0504,4.9028,5.0872,5.2618,5.0057,4.6617,5.2812,5.1229,5.0731,5.0044,5.0554,5.115,4.7908,4.819,5.1209,5.2148,4.9068,5.1503,5.2301,5.0426,4.9658,4.5771,5.2622,4.546,5.118,5.212,5.1379,5.1442,4.9409,5.1328,4.8288
stage_6_AB_div,175,5.1789,5.2757,5.127,4.8819,5.3477,5.2452,4.8958,5.2088,5.2909,5.2549,5.2612,5.2788,5.2836,5.3403,5.0976,5.0624,5.178,5.2975,5.058,4.8747,5.3051,5.2173,5.189,5.0985,5.1461,5.2141,4.8609,4.947,5.1977,5.231,5.0272,5.2419,5.303,5.0783,5.074,4.7637,5.2831,4.6935,5.2301,5.2413,5.2738,5.2103,5.0959,5.2297,4.9146
stage_7_AB_div,200,5.3122,5.3106,5.1073,5.0443,5.3873,5.2329,4.9991,5.2717,5.3413,5.3121,5.334,5.339,5.3479,5.3744,5.192,5.1984,5.2532,5.3484,5.1457,5.047,5.3173,5.3273,5.2758,5.1291,5.2061,5.2879,4.9669,5.0698,5.2572,5.3041,5.126,5.3232,5.3462,5.1566,5.184,4.8639,5.355,4.774,5.2896,5.3104,5.3192,5.2763,5.1334,5.3075,5.0616
stage_VE,250,5.356,5.3646,4.9622,5.2658,5.3435,5.3399,5.1552,5.3505,5.4002,5.3826,5.362,5.359,5.3686,5.448,5.2891,5.3249,5.2897,5.3355,5.1916,5.2034,5.3239,5.4341,5.338,5.2414,5.258,5.3498,5.1757,5.2278,5.3297,5.3734,5.2539,5.3985,5.3676,5.2464,5.2429,5.044,5.3791,5.0107,5.3171,5.3547,5.3722,5.3232,5.2073,5.3414,5.1347
stage_CS,400,5.3697,5.4065,4.9779,5.3072,5.3512,5.3421,5.1851,5.3687,5.401,5.4027,5.3892,5.384,5.3708,5.479,5.3052,5.3445,5.2913,5.3902,5.1544,5.2277,5.3661,5.4641,5.3459,5.2814,5.2943,5.3802,5.2116,5.2718,5.3256,5.3981,5.2795,5.42,5.3979,5.2846,5.2994,5.0959,5.4197,5.0772,5.3455,5.377,5.3811,5.3378,5.243,5.3679,5.1403
stage_Mov,600,5.3045,5.3155,4.8635,5.2468,5.2844,5.2992,5.1825,5.2911,5.3477,5.3218,5.311,5.2985,5.2856,5.3877,5.2364,5.3027,5.2296,5.3237,4.9729,5.1771,5.3332,5.3714,5.2925,5.2503,5.2309,5.3281,5.1888,5.1838,5.2922,5.3391,5.2375,5.3554,5.3284,5.2419,5.2408,5.1218,5.3485,5.095,5.283,5.2978,5.3243,5.2463,5.1667,5.3139,4.99
stage_L1,800,5.4207,5.462,5.0246,5.3626,5.4213,5.3962,5.3,5.3952,5.4456,5.4669,5.4268,5.4259,5.4199,5.5261,5.3685,5.4176,5.3713,5.4481,4.9041,5.3061,5.4327,5.5067,5.4097,5.4203,5.4076,5.4014,5.3296,5.3537,5.426,5.4443,5.3372,5.529,5.429,5.3694,5.4087,5.2728,5.4617,5.265,5.3892,5.4201,5.4345,5.3694,5.3473,5.397,4.9705
