"","Cultivation","Block","Plot","Species","Count"
"1","october","a","1","Achillea millefolium",65.6
"2","march","d","10","Achillea millefolium",45.3333333333333
"3","october","d","11","Achillea millefolium",36.8
"4","may","d","12","Achillea millefolium",0
"5","may","a","2","Achillea millefolium",6.4
"6","march","a","3","Achillea millefolium",29.3333333333333
"7","may","b","4","Achillea millefolium",0
"8","march","b","5","Achillea millefolium",65.6
"9","october","b","6","Achillea millefolium",10
"10","march","c","7","Achillea millefolium",358.4
"11","october","c","8","Achillea millefolium",4.8
"12","may","c","9","Achillea millefolium",19.2
"13","october","a","1","Agrostis gigantea",24
"14","march","d","10","Agrostis gigantea",1037.33333333333
"15","october","d","11","Agrostis gigantea",430.4
"16","may","d","12","Agrostis gigantea",594.666666666667
"17","may","a","2","Agrostis gigantea",3.2
"18","march","a","3","Agrostis gigantea",181.333333333333
"19","may","b","4","Agrostis gigantea",616
"20","march","b","5","Agrostis gigantea",208
"21","october","b","6","Agrostis gigantea",518
"22","march","c","7","Agrostis gigantea",243.2
"23","october","c","8","Agrostis gigantea",1267.2
"24","may","c","9","Agrostis gigantea",393.6
"25","october","a","1","Anagallis arvensis",0
"26","march","d","10","Anagallis arvensis",2.66666666666667
"27","october","d","11","Anagallis arvensis",38.4
"28","may","d","12","Anagallis arvensis",90.6666666666667
"29","may","a","2","Anagallis arvensis",3.2
"30","march","a","3","Anagallis arvensis",0
"31","may","b","4","Anagallis arvensis",4.8
"32","march","b","5","Anagallis arvensis",0
"33","october","b","6","Anagallis arvensis",0
"34","march","c","7","Anagallis arvensis",0
"35","october","c","8","Anagallis arvensis",11.2
"36","may","c","9","Anagallis arvensis",40
"37","october","a","1","Anchusa arvensis",8
"38","march","d","10","Anchusa arvensis",0
"39","october","d","11","Anchusa arvensis",0
"40","may","d","12","Anchusa arvensis",0
"41","may","a","2","Anchusa arvensis",1.6
"42","march","a","3","Anchusa arvensis",0
"43","may","b","4","Anchusa arvensis",12.8
"44","march","b","5","Anchusa arvensis",0
"45","october","b","6","Anchusa arvensis",0
"46","march","c","7","Anchusa arvensis",0
"47","october","c","8","Anchusa arvensis",1.6
"48","may","c","9","Anchusa arvensis",35.2
"49","october","a","1","Anisantha sterilis",8
"50","march","d","10","Anisantha sterilis",14.6666666666667
"51","october","d","11","Anisantha sterilis",4.8
"52","may","d","12","Anisantha sterilis",58.6666666666667
"53","may","a","2","Anisantha sterilis",0
"54","march","a","3","Anisantha sterilis",0
"55","may","b","4","Anisantha sterilis",435.2
"56","march","b","5","Anisantha sterilis",0
"57","october","b","6","Anisantha sterilis",2
"58","march","c","7","Anisantha sterilis",60.8
"59","october","c","8","Anisantha sterilis",0
"60","may","c","9","Anisantha sterilis",385.6
"61","october","a","1","Aphanes australis",0
"62","march","d","10","Aphanes australis",0
