"","Cultivation","Block","Plot","SpeciesNo","ShannonIndexes"
"9","october","a","1",16,0.959183303864285
"5","may","a","2",16,1.12769151976753
"1","march","a","3",12,1.70676704630207
"6","may","b","4",17,1.46943445572039
"2","march","b","5",11,1.6537133016111
"10","october","b","6",19,1.31698786370159
"3","march","c","7",17,2.02463365869467
"11","october","c","8",14,0.980819969652902
"7","may","c","9",16,1.95867117068109
"4","march","d","10",18,1.44664255591994
"12","october","d","11",13,1.27267448257866
"8","may","d","12",16,1.5024736112302
